Fecha:,03/05/2026 13:16,,,,,
Operador,Nombre plan,Descripción,Fecha validez,Cifra descuento,Tipo descuento,Destinatario
"DISA RED DE SERVICIOS PETROLIFEROS, S.A.",LIDL PLUS,PROMOCION 4% DESCUENTO A CLIENTES LIDL PLUS. EN TODA LA RED.,,4.000,Porcentaje sobre el precio total,Todos los consumidores
"DISA RED DE SERVICIOS PETROLIFEROS, S.A.",MI ENERGIA DISA,PROMOCION DE LANZAMIENTO DE LA NUEVA APP. Te permite ahorrar hasta 10cts/l. EN TODA LA RED.,,10.000,Céntimos de euro en cada litro,Todos los consumidores
"DISA RETAIL ATLANTICO, S.L.U",MI ENERGIA DISA,PROMOCION DE LANZAMIENTO DE LA NUEVA APP. Te permite ahorrar hasta 10cts/l. EN TODA LA RED.,,5.000,Céntimos de euro en cada litro,Todos los consumidores
"DISA RETAIL ATLANTICO, S.L.U",LIDL PLUS,PROMOCION 4% DESCUENTO A CLIENTES LIDL PLUS. EN TODA LA RED.,,4.000,Porcentaje sobre el precio total,Todos los consumidores
"DISA RETAIL ATLANTICO, S.L.U",TOPii - APP ING,AHORRA UN 4% EN CADA REPOSTAJE UTILIZANDO LA APP TOPii de ING. EN TODA LA RED.,,4.000,Porcentaje sobre el precio total,Todos los consumidores
"ENILIVE IBERIA -, S.L.U",MI ENERGIA DISA,PROMOCION DE LANZAMIENTO DE LA NUEVA APP. Te permite ahorrar hasta 50cts/l.  en Estaciones de Servicio SHELL,,5.000,Céntimos de euro en cada litro,Todos los consumidores
"ENILIVE IBERIA -, S.L.U",TOPii - APP ING,AHORRA UN 4% EN CADA REPOSTAJE UTILIZANDO LA APP TOPii de ING en las estaciones de servicio SHELL.,,4.000,Porcentaje sobre el precio total,Todos los consumidores
"ENILIVE IBERIA -, S.L.U",LIDL PLUS,Promoción 4% Descuento a Clientes LIDL PLUS en Estaciones de Servicio SHELL,,4.000,Porcentaje sobre el precio total,Todos los consumidores
"ENILIVE IBERIA -, S.L.U",DESCUENTO A CLIENTES CAIXABANK,Promoción 3% Descuento a Clientes CAIXABANK en Estaciones de Servicio SHELL,,3.000,Porcentaje sobre el precio total,Todos los consumidores
"ENILIVE IBERIA -, S.L.U",DESCUENTO A CLIENTES IKEA,Promoción 3% Descuento a Clientes IKEA en Estaciones de Servicio SHELL,,3.000,Porcentaje sobre el precio total,Todos los consumidores
EMPRESAS DEL GRUPO REPSOL,Internacionales,"Tarjeta profesional de pago privada y emitida por entidades extranjeras, para clientes extranjeros aceptadas en EESS Repsol.",,,,Todos los consumidores
EMPRESAS DEL GRUPO REPSOL,Solred Más,Tarjeta profesional privada con prepago en el momento de la operación.,,,,Todos los consumidores
EMPRESAS DEL GRUPO REPSOL,Edenred,Tarjeta profesional emitida por una entidad de pago con un descuento prefijado (tarjeta mixta).,,3.000,Porcentaje sobre el precio total,Todos los consumidores
EMPRESAS DEL GRUPO REPSOL,Tarjeta El Corte Inglés,Todos los clientes que realicen sus pagos con la Nueva tarjeta El Corte Inglés acumularán el 4% del importe total para compras Los Centros El Corte Inglés,,4.000,Porcentaje sobre el precio total,Todos los consumidores
GALP ENERGÍA ESPAÑA S.A.,GALP FLOTA BUSINESS - Baleares,Tarjeta de descuento inmediato para colectivos y asociados.,,3.000,Céntimos de euro en cada litro,Todos los consumidores
GALP ENERGÍA ESPAÑA S.A.,TOPii,Ahorra un 4% con cada compra de carburante utilizando la Aplicación TOPii,,4.000,Porcentaje sobre el precio total,Todos los consumidores
